method,task,regime,split,success,success_ci95,contact_mode_f1,contact_mode_f1_ci95,boundary_error,boundary_error_ci95,unsafe_impulse,unsafe_impulse_ci95,jam_rate,jam_rate_ci95,slip_overshoot,slip_overshoot_ci95,intervention_cost,intervention_cost_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups
no_contact_behavior_clone,peg_insertion,nominal_contact,nominal,0.5238,0.0391,0.2458,0.007,0.2875,0.0047,0.0409,0.0041,0.0679,0.0047,0.0369,0.0029,0.1137,0.0,0.265,0.0058,7
no_contact_behavior_clone,peg_insertion,nominal_contact,seen_shift,0.4762,0.0558,0.2343,0.0051,0.296,0.0038,0.0495,0.0032,0.0791,0.0014,0.0555,0.0032,0.1241,0.0,0.2543,0.0033,7
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_geometry,0.4133,0.0337,0.2249,0.0059,0.3044,0.004,0.0562,0.0027,0.0915,0.0026,0.0662,0.0026,0.1292,0.0,0.2445,0.0031,7
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_friction,0.3741,0.0287,0.2209,0.0066,0.3031,0.0027,0.0519,0.0031,0.0926,0.0044,0.0993,0.0029,0.1322,0.0,0.2503,0.0032,7
no_contact_behavior_clone,peg_insertion,nominal_contact,combined_stress,0.3912,0.0445,0.2091,0.0052,0.3139,0.0057,0.0569,0.0029,0.109,0.0052,0.1033,0.0038,0.1411,0.0,0.2283,0.0062,7
no_contact_behavior_clone,peg_insertion,impact_onset,nominal,0.4405,0.0494,0.24,0.0099,0.3543,0.0032,0.105,0.0039,0.0938,0.0045,0.0414,0.0024,0.1222,0.0,0.256,0.0038,7
no_contact_behavior_clone,peg_insertion,impact_onset,seen_shift,0.4167,0.0197,0.2329,0.0105,0.3789,0.0041,0.1316,0.0024,0.1149,0.0053,0.0593,0.004,0.1348,0.0,0.2461,0.004,7
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_geometry,0.3554,0.0339,0.2303,0.0059,0.402,0.0048,0.1564,0.0044,0.1303,0.0032,0.0606,0.003,0.141,0.0,0.2447,0.0061,7
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_friction,0.3588,0.0492,0.2249,0.0065,0.3967,0.0043,0.1438,0.0016,0.1302,0.0034,0.1048,0.0023,0.1446,0.0,0.2409,0.007,7
no_contact_behavior_clone,peg_insertion,impact_onset,combined_stress,0.2721,0.0267,0.2091,0.0054,0.4246,0.0037,0.1752,0.0032,0.1527,0.0031,0.1075,0.0057,0.1553,0.0,0.2367,0.0067,7
no_contact_behavior_clone,peg_insertion,stick_slip_transition,nominal,0.432,0.0287,0.2429,0.0087,0.3328,0.0048,0.0728,0.0009,0.0902,0.0029,0.0643,0.0061,0.1214,0.0,0.2613,0.0073,7
no_contact_behavior_clone,peg_insertion,stick_slip_transition,seen_shift,0.415,0.0343,0.2313,0.0075,0.353,0.005,0.0888,0.0019,0.1066,0.0026,0.0892,0.0025,0.1337,0.0,0.2495,0.0092,7
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_geometry,0.398,0.0317,0.2229,0.0097,0.3607,0.0042,0.103,0.0029,0.1281,0.004,0.0924,0.0037,0.1399,0.0,0.2503,0.0037,7
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_friction,0.3248,0.0232,0.2258,0.0043,0.3767,0.0033,0.0996,0.0024,0.1208,0.0038,0.1507,0.0037,0.1434,0.0,0.2455,0.0072,7
no_contact_behavior_clone,peg_insertion,stick_slip_transition,combined_stress,0.3435,0.0252,0.2129,0.006,0.3872,0.0048,0.1151,0.003,0.1441,0.005,0.1505,0.0038,0.154,0.0,0.2388,0.0053,7
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,nominal,0.432,0.0273,0.2496,0.0068,0.3154,0.0031,0.0743,0.0053,0.0756,0.0044,0.045,0.003,0.1198,0.0,0.2583,0.0048,7
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,seen_shift,0.4014,0.0425,0.2376,0.0099,0.3345,0.0066,0.0906,0.003,0.1011,0.0029,0.0659,0.0024,0.1317,0.0,0.2517,0.0043,7
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_geometry,0.3861,0.0438,0.2337,0.007,0.349,0.004,0.1051,0.0029,0.1095,0.003,0.0709,0.0027,0.1376,0.0,0.2475,0.0028,7
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_friction,0.3759,0.0292,0.2279,0.0082,0.3487,0.0033,0.0989,0.0036,0.1109,0.0039,0.1091,0.0029,0.141,0.0,0.2451,0.006,7
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,combined_stress,0.3333,0.0374,0.208,0.0065,0.3711,0.0029,0.1183,0.0031,0.1233,0.005,0.117,0.0044,0.1512,0.0,0.2382,0.0074,7
no_contact_behavior_clone,peg_insertion,contact_jamming,nominal,0.4031,0.0459,0.2479,0.0092,0.3295,0.0047,0.0827,0.0018,0.1263,0.0044,0.05,0.0043,0.1231,0.0,0.2654,0.0069,7
