method,task,regime,split,seed,episodes,success,success_probability,contact_mode_f1,boundary_error,unsafe_impulse,jam_rate,slip_overshoot,intervention_cost,data_efficiency_proxy
no_contact_behavior_clone,peg_insertion,nominal_contact,nominal,0,84,0.5952,0.501,0.2434,0.2816,0.0477,0.077,0.0289,0.1137,0.2801
no_contact_behavior_clone,peg_insertion,nominal_contact,nominal,1,84,0.5595,0.5034,0.2525,0.2785,0.0386,0.0722,0.0391,0.1137,0.2614
no_contact_behavior_clone,peg_insertion,nominal_contact,nominal,2,84,0.5119,0.491,0.233,0.2893,0.0408,0.0682,0.0372,0.1137,0.2592
no_contact_behavior_clone,peg_insertion,nominal_contact,nominal,3,84,0.5238,0.5028,0.2622,0.297,0.0355,0.0633,0.035,0.1137,0.2691
no_contact_behavior_clone,peg_insertion,nominal_contact,nominal,4,84,0.4286,0.4965,0.2438,0.2842,0.0438,0.0728,0.0383,0.1137,0.2617
no_contact_behavior_clone,peg_insertion,nominal_contact,nominal,5,84,0.5,0.5125,0.2465,0.2901,0.033,0.0611,0.0394,0.1137,0.2663
no_contact_behavior_clone,peg_insertion,nominal_contact,nominal,6,84,0.5476,0.4921,0.239,0.292,0.0467,0.0608,0.0402,0.1137,0.257
no_contact_behavior_clone,peg_insertion,nominal_contact,seen_shift,0,84,0.5119,0.4559,0.2325,0.2885,0.0536,0.0783,0.0574,0.1241,0.2528
no_contact_behavior_clone,peg_insertion,nominal_contact,seen_shift,1,84,0.4286,0.4534,0.2259,0.3041,0.0424,0.0805,0.0581,0.1241,0.2555
no_contact_behavior_clone,peg_insertion,nominal_contact,seen_shift,2,84,0.5357,0.4502,0.2345,0.2966,0.0503,0.0813,0.0559,0.1241,0.2577
no_contact_behavior_clone,peg_insertion,nominal_contact,seen_shift,3,84,0.3333,0.4469,0.2412,0.2999,0.0524,0.0782,0.0565,0.1241,0.252
no_contact_behavior_clone,peg_insertion,nominal_contact,seen_shift,4,84,0.4643,0.451,0.2283,0.2917,0.0468,0.0778,0.046,0.1241,0.2508
no_contact_behavior_clone,peg_insertion,nominal_contact,seen_shift,5,84,0.5476,0.4491,0.2454,0.294,0.0472,0.0814,0.059,0.1241,0.2489
no_contact_behavior_clone,peg_insertion,nominal_contact,seen_shift,6,84,0.5119,0.4628,0.2327,0.2971,0.0541,0.0764,0.0555,0.1241,0.2621
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_geometry,0,84,0.4286,0.4373,0.2177,0.3111,0.0524,0.0879,0.0651,0.1292,0.2503
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_geometry,1,84,0.4643,0.4276,0.2396,0.3104,0.0633,0.0958,0.0699,0.1292,0.2467
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_geometry,2,84,0.4286,0.4212,0.2193,0.2981,0.0566,0.088,0.0633,0.1292,0.2456
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_geometry,3,84,0.4286,0.4429,0.2269,0.3016,0.0557,0.0951,0.0635,0.1292,0.2468
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_geometry,4,84,0.3214,0.4291,0.2207,0.3047,0.0545,0.0942,0.0702,0.1292,0.2384
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_geometry,5,84,0.3929,0.4461,0.2302,0.307,0.0572,0.0918,0.062,0.1292,0.2439
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_geometry,6,84,0.4286,0.4317,0.2196,0.2979,0.0533,0.088,0.0693,0.1292,0.2398
