rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.7763/ijmo.2011.v1.30,Modeling Large Sliding Frictional Contact Along Non-Smooth Discontinuities in X-FEM,2011,International Journal of Modeling and Optimization,https://doi.org/10.7763/ijmo.2011.v1.30,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.4271/2010-01-1057,An Efficient Spring Model Based on a Curved Beam with Non-Smooth Contact Mechanics for Valve Train Simulations,2010,SAE International Journal of Engines,https://doi.org/10.4271/2010-01-1057,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.3934/jimo.2021170,Generalization of hyperbolic smoothing approach for non-smooth and non-Lipschitz functions,2022,Journal of Industrial and Management Optimization,https://doi.org/10.3934/jimo.2021170,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.4271/2008-01-0291,Simulation of a Valve Train Using Non-Smooth Mechanics,2008,SAE International Journal of Engines,https://doi.org/10.4271/2008-01-0291,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1016/j.cma.2024.117346,A variational-based non-smooth contact dynamics approach for the seismic analysis of historical masonry structures,2024,Computer Methods in Applied Mechanics and Engineering,https://doi.org/10.1016/j.cma.2024.117346,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1016/s0045-7825(98)00383-1,The non-smooth contact dynamics method,1999,Computer Methods in Applied Mechanics and Engineering,https://doi.org/10.1016/s0045-7825(98)00383-1,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1016/j.tws.2026.115031,Compatibility analysis between two-phase local/nonlocal and classical theories for nanobeams in smooth and non-smooth fields,2026,Thin-Walled Structures,https://doi.org/10.1016/j.tws.2026.115031,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.1016/j.ijnonlinmec.2020.103565,A thermodynamically consistent non-linear mathematical model for thermoviscoelastic plates/shells with finite deformation and finite strain based on classical continuum mechanics,2020,International Journal of Non-Linear Mechanics,https://doi.org/10.1016/j.ijnonlinmec.2020.103565,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1007/s00039-017-0408-9,Quasi-classical asymptotics for functions of Wiener–Hopf operators: smooth versus non-smooth symbols,2017,Geometric and Functional Analysis,https://doi.org/10.1007/s00039-017-0408-9,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.1115/detc2021-74773,Steps Towards Non-Smooth Multibody Dynamics,2021,"Volume 9: 17th International Conference on Multibody Systems, Nonlinear Dynamics, and Control (MSNDC)",https://doi.org/10.1115/detc2021-74773,Addresses classical mechanics and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Non smooth mechanics for foundation policies keeps action-critical alternatives explicit until a physical observation collapses them.
